,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
340,MENDOZA_CAPITAL,"Capital, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,17.54,14.02,3.62,29.77,12.79,1.66,14.55,5.56,0.23,0.26,12521,10005,2585,21255,9130,1186,10389,3970,162,183,74.87,98654,73866,1.37,0.09,1.89,1014.0,70.0,1396.0,MENDOZA
341,MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,13.52,6.16,0.93,50.52,8.86,1.01,16.37,2.07,0.23,0.31,3645,1662,251,13623,2390,272,4414,559,63,84,80.25,34670,27821,1.39,0.1,1.59,387.0,28.0,443.0,MENDOZA
342,MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,20.66,11.02,3.66,38.51,6.59,1.86,12.9,3.95,0.31,0.54,22788,12154,4038,42486,7272,2048,14227,4359,342,600,78.38,146566,114873,1.22,0.22,2.53,1400.0,249.0,2910.0,MENDOZA
343,MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,22.4,7.87,3.49,43.66,6.0,1.59,11.06,3.24,0.27,0.41,33702,11841,5243,65682,9026,2395,16645,4875,412,617,79.6,197116,156896,1.16,0.25,2.7,1816.0,398.0,4244.0,MENDOZA
344,MENDOZA_JUNIN,"Junin, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,23.71,6.3,1.87,46.85,3.67,0.66,14.05,1.97,0.29,0.64,5513,1464,434,10894,853,154,3268,458,67,148,81.84,29669,24282,1.73,0.2,2.31,419.0,48.0,562.0,MENDOZA
345,MENDOZA_LA PAZ,"La Paz, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,10.41,1.57,0.74,44.21,1.57,0.27,39.95,0.69,0.18,0.42,645,97,46,2740,97,17,2476,43,11,26,85.29,7517,6411,2.37,0.11,0.84,152.0,7.0,54.0,MENDOZA
346,MENDOZA_LAS HERAS,"Las Heras, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,21.07,5.83,3.29,51.0,4.1,1.49,9.99,2.45,0.3,0.47,21314,5901,3332,51582,4146,1504,10099,2479,303,477,78.5,134425,105525,1.44,0.15,2.57,1517.0,156.0,2715.0,MENDOZA
347,MENDOZA_LAVALLE,"Lavalle, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,15.82,2.18,1.57,66.15,1.87,0.69,9.7,1.35,0.26,0.41,3184,438,317,13314,377,139,1953,271,52,82,83.96,25106,21080,1.66,1.39,1.48,349.0,292.0,312.0,MENDOZA
348,MENDOZA_LUJAN DE CUYO,"Lujan, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,22.9,8.49,2.85,44.65,6.44,1.44,9.14,3.32,0.31,0.44,14334,5316,1786,27945,4033,899,5719,2079,195,275,81.32,80457,65429,1.56,0.12,2.68,1020.0,76.0,1752.0,MENDOZA
349,MENDOZA_MAIPU,"Maipu, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,22.34,6.2,3.09,50.44,4.97,1.28,8.57,2.36,0.3,0.45,20371,5649,2818,45996,4528,1168,7816,2156,274,409,82.91,115465,95734,1.79,0.26,2.7,1711.0,252.0,2586.0,MENDOZA
350,MENDOZA_MALARGÜE,"Malargüe, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,10.17,4.11,1.17,65.13,3.19,0.47,12.73,2.03,0.34,0.66,1519,614,175,9728,476,70,1901,303,51,99,77.98,19923,15536,2.68,0.1,1.09,416.0,15.0,169.0,MENDOZA
351,MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,21.75,7.98,1.39,45.7,3.56,0.53,16.61,1.84,0.25,0.39,6684,2454,427,14044,1094,163,5105,565,76,121,81.07,39359,31908,1.53,0.11,2.04,487.0,36.0,652.0,MENDOZA
352,MENDOZA_SAN CARLOS,"San Carlos, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,21.75,4.79,1.14,51.02,4.47,1.18,11.65,2.29,0.28,1.44,3775,832,198,8857,776,204,2023,397,48,250,82.77,21799,18042,2.13,0.08,1.57,385.0,14.0,283.0,MENDOZA
353,MENDOZA_SAN MARTIN,"San Martin, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,21.72,5.79,2.26,51.03,4.46,0.79,11.05,2.19,0.31,0.39,14191,3781,1477,33341,2917,513,7220,1434,201,258,81.45,83323,67869,1.49,0.11,2.14,1009.0,73.0,1454.0,MENDOZA
354,MENDOZA_SAN RAFAEL,"San Rafael, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,16.95,4.63,1.14,54.79,7.57,0.8,10.74,2.57,0.37,0.44,16831,4600,1129,54391,7511,797,10666,2547,367,438,78.02,131715,102765,1.35,0.05,1.99,1383.0,56.0,2049.0,MENDOZA
355,MENDOZA_SANTA ROSA,"Santa Rosa, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,13.99,2.12,0.97,61.03,2.57,0.84,16.96,0.95,0.16,0.43,1243,188,86,5424,228,75,1507,84,14,38,81.59,11225,9159,1.67,0.22,1.08,153.0,20.0,99.0,MENDOZA
356,MENDOZA_TUNUYAN,"Tunuyan, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,19.61,5.65,2.14,48.92,4.94,1.06,14.3,2.32,0.38,0.67,5103,1471,558,12731,1286,275,3722,603,100,175,81.07,33177,26896,1.35,0.06,1.83,364.0,17.0,491.0,MENDOZA
357,MENDOZA_TUPUNGATO,"Tupungato, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,21.61,2.87,1.33,50.19,5.0,0.98,14.55,2.57,0.39,0.51,3340,443,206,7756,773,151,2248,397,61,79,79.81,20210,16129,2.11,0.01,2.06,341.0,2.0,332.0,MENDOZA
427,SAN JUAN_25 DE MAYO,"25 De Mayo, San Juan",ALIANZA FRENTE PARA LA VICTORIA,20.33,0.98,0.78,72.66,1.16,0.54,2.8,0.65,0.0,0.1,1280,62,49,4574,73,34,176,41,0,6,64.9,10683,6933,8.6,0.07,0.53,596.0,5.0,37.0,SAN JUAN
428,SAN JUAN_ALBARDON,"Albardon, San Juan",ALIANZA FRENTE PARA LA VICTORIA,10.55,2.15,0.96,75.74,2.6,0.71,5.72,1.43,0.16,0.0,1076,219,98,7726,265,72,583,146,16,0,69.4,16223,11258,8.63,0.03,0.73,972.0,3.0,82.0,SAN JUAN
429,SAN JUAN_ANGACO,"Angaco, San Juan",ALIANZA FRENTE PARA LA VICTORIA,24.08,0.73,0.39,56.49,3.55,0.5,13.69,0.57,0.0,0.0,1052,32,17,2468,155,22,598,25,0,0,76.5,6213,4753,7.05,0.19,0.84,335.0,9.0,40.0,SAN JUAN
430,SAN JUAN_CALINGASTA,"Calingasta, San Juan",ALIANZA FRENTE PARA LA VICTORIA,25.18,2.22,0.4,66.15,1.96,0.45,2.86,0.69,0.09,0.0,1065,94,17,2798,83,19,121,29,4,0,75.3,6195,4665,7.97,0.04,1.31,372.0,2.0,61.0,SAN JUAN
431,SAN JUAN_CAPITAL,"Capital, San Juan",ALIANZA FRENTE PARA LA VICTORIA,17.37,5.31,1.68,50.56,8.67,0.63,10.73,4.47,0.28,0.31,11267,3446,1087,32800,5627,408,6961,2897,182,201,72.22,96011,69337,5.03,0.09,1.31,3489.0,64.0,908.0,SAN JUAN
432,SAN JUAN_CAUCETE,"Caucete, San Juan",ALIANZA FRENTE PARA LA VICTORIA,14.51,2.77,1.0,67.58,2.28,0.97,9.37,1.49,0.02,0.01,1809,345,125,8422,284,121,1168,186,2,1,62.66,24047,15067,16.31,0.13,0.84,2458.0,19.0,127.0,SAN JUAN
433,SAN JUAN_CHIMBAS,"Chimbas, San Juan",ALIANZA FRENTE PARA LA VICTORIA,11.22,1.33,1.02,79.53,1.76,0.46,3.61,0.98,0.04,0.05,3987,474,362,28272,626,164,1284,350,13,16,73.72,50565,37277,3.34,0.28,1.02,1244.0,105.0,380.0,SAN JUAN
434,SAN JUAN_IGLESIA,"Iglesia, San Juan",ALIANZA FRENTE PARA LA VICTORIA,15.69,2.1,0.87,69.88,1.02,1.78,8.0,0.66,0.0,0.0,598,80,33,2664,39,68,305,25,0,0,77.73,5455,4240,8.77,0.12,1.2,372.0,5.0,51.0,SAN JUAN
435,SAN JUAN_JACHAL,"Jachal, San Juan",ALIANZA FRENTE PARA LA VICTORIA,5.12,2.02,0.9,64.75,1.39,0.9,24.42,0.46,0.03,0.02,576,227,101,7290,157,101,2749,52,3,2,75.33,16047,12088,5.91,0.1,0.86,714.0,12.0,104.0,SAN JUAN
436,SAN JUAN_9 DE JULIO,"Nueve De Julio, San Juan",ALIANZA FRENTE PARA LA VICTORIA,12.9,0.74,0.63,75.29,0.93,0.49,8.54,0.49,0.0,0.0,556,32,27,3245,40,21,368,21,0,0,70.48,6373,4492,3.65,0.02,0.38,164.0,1.0,17.0,SAN JUAN
437,SAN JUAN_POCITO,"Pocito, San Juan",ALIANZA FRENTE PARA LA VICTORIA,13.11,1.68,1.15,75.66,2.26,0.67,4.45,0.93,0.1,0.01,2542,325,222,14668,438,129,862,181,19,1,73.68,27656,20378,3.52,0.1,1.24,718.0,20.0,253.0,SAN JUAN
438,SAN JUAN_RAWSON,"Rawson, San Juan",ALIANZA FRENTE PARA LA VICTORIA,17.9,1.73,1.15,69.63,2.53,0.42,4.86,1.62,0.07,0.09,9871,956,634,38410,1396,231,2682,895,37,48,74.03,79075,58542,4.34,0.23,1.21,2541.0,135.0,706.0,SAN JUAN
439,SAN JUAN_RIVADAVIA,"Rivadavia, San Juan",ALIANZA FRENTE PARA LA VICTORIA,14.69,3.94,0.87,65.58,4.55,0.65,6.87,2.26,0.35,0.25,5834,1563,344,26036,1805,257,2727,898,139,100,76.15,56593,43097,6.25,0.27,1.36,2693.0,115.0,586.0,SAN JUAN
440,SAN JUAN_SAN MARTIN,"San Martin, San Juan",ALIANZA FRENTE PARA LA VICTORIA,13.18,1.73,1.37,68.7,1.35,0.65,12.21,0.82,0.0,0.0,693,91,72,3613,71,34,642,43,0,0,77.67,7501,5826,8.55,0.07,1.12,498.0,4.0,65.0,SAN JUAN
441,SAN JUAN_SANTA LUCIA,"Santa Lucia, San Juan",ALIANZA FRENTE PARA LA VICTORIA,20.82,3.03,1.03,62.25,3.66,0.52,6.61,1.79,0.23,0.06,5005,728,247,14965,880,126,1588,430,56,14,74.07,34874,25831,5.45,0.13,1.36,1408.0,33.0,351.0,SAN JUAN
442,SAN JUAN_SARMIENTO,"Sarmiento, San Juan",ALIANZA FRENTE PARA LA VICTORIA,24.22,1.54,0.67,64.3,2.08,0.72,5.75,0.73,0.0,0.0,2391,152,66,6349,205,71,568,72,0,0,74.39,13869,10317,3.32,0.05,0.92,343.0,5.0,95.0,SAN JUAN
443,SAN JUAN_ULLUM,"Ullum, San Juan",ALIANZA FRENTE PARA LA VICTORIA,32.69,0.93,0.0,51.24,3.88,0.25,9.19,1.31,0.08,0.42,775,22,0,1215,92,6,218,31,2,10,81.45,3105,2529,4.98,0.04,1.23,126.0,1.0,31.0,SAN JUAN
